GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,SASUMMARY,1,"..."," Real GDP (millions of chained 2017 dollars) 1/","Millions of chained 2017 dollars",206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383725.6,380544.0,406309.2,422576.1,440225.2,448838.5
 "08000","Colorado",7,SASUMMARY,2,"..."," Real personal income (millions of constant (2017) dollars) 2/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),228209.5,220156.7,226626.3,233665.2,242406.6,251274.1,268525.7,279424.9,281603.0,295376.1,321258.8,331925.1,345691.4,374187.2,378370.3,385731.1,388565.9
 "08000","Colorado",7,SASUMMARY,3,"..."," Real PCE (millions of constant (2017) dollars) 3/","Millions of constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),188084.8,187531.5,193298.2,192655.0,194627.8,201471.4,210553.0,221877.3,231593.8,240885.7,255815.0,260214.1,252667.4,282229.9,295687.2,305000.9,310627.1
 "08000","Colorado",7,SASUMMARY,4,"..."," Gross domestic product (GDP) ","Millions of current dollars",149653.7,162411.7,179303.3,185848.9,189604.6,195137.6,203743.3,220803.8,232853.6,248571.6,257606.1,249817.1,256771.8,266114.1,274738.8,291265.3,309223.9,320895.9,330565.9,350209.1,373923.1,397843.6,396981.1,445781.3,499197.4,533268.6,557633.0
 "08000","Colorado",7,SASUMMARY,5,"..."," Personal income ","Millions of current dollars",122577.9,131712.8,146560.8,154066.7,154492.3,157405.3,163568.5,174247.8,188197.0,200611.2,210065.8,200170.0,206053.4,223873.9,236033.0,247816.7,268453.1,279696.0,283678.7,303366.7,328112.7,351476.0,374449.3,418190.2,448676.8,473104.6,494798.6
 "08000","Colorado",7,SASUMMARY,6,"..."," Disposable personal income ","Millions of current dollars",105138.1,112452.8,124352.3,132523.8,136160.2,140456.1,145983.9,153717.8,164602.5,174261.5,183754.7,180175.7,184323.2,197828.9,208823.5,217662.1,235238.8,243622.7,246133.3,264253.1,288001.5,307807.3,329778.0,363060.9,383057.9,417802.0,437952.8
 "08000","Colorado",7,SASUMMARY,7,"..."," Personal consumption expenditures ","Millions of current dollars",96805.1,106130.8,117037.5,123305.4,126789.8,132387.1,140464.2,148825.1,158054.6,167441.9,173274.1,170721.1,175992.9,184841.9,189763.8,198951.0,210765.5,222464.3,233801.6,247983.2,261807.9,276054.3,274438.5,316057.8,351052.6,374380.5,395863.4
 "08000","Colorado",7,SASUMMARY,8,"..."," Real per capita personal income 4/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),46671,44278,44904,45648,46723,47745,50265,51351,50937,52749,56590,57869,59735,64359,64668,65363,65223
 "08000","Colorado",7,SASUMMARY,9,"..."," Real per capita PCE 5/","Constant 2017 dollars",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),38465,37716,38300,37636,37514,38282,39413,40775,41891,43018,45062,45367,43660,48543,50537,51683,52141
 "08000","Colorado",7,SASUMMARY,10,"..."," Per capita personal income 6/","Dollars",29776,31167,33872,34812,34405,34757,35753,37619,39869,41760,42961,40258,40827,43735,45495,47088,50251,51401,51312,54176,57798,61278,64704,71928,76685,80169,83055
 "08000","Colorado",7,SASUMMARY,11,"..."," Per capita disposable personal income 7/","Dollars",25540,26610,28739,29944,30322,31014,31909,33187,34870,36275,37580,36237,36522,38647,40250,41359,44034,44772,44521,47191,50732,53664,56985,62446,65470,70798,73513
 "08000","Colorado",7,SASUMMARY,12,"..."," Per capita personal consumption expenditures (PCE) 8/","Dollars",23516,25114,27049,27861,28236,29233,30702,32131,33483,34856,35436,34335,34871,36110,36576,37803,39453,40883,42290,44286,46118,48128,47422,54361,59999,63440,66448
 "08000","Colorado",7,SASUMMARY,13,"..."," Regional price parities (RPPs) 9/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),103.315,102.378,100.590,103.384,103.138,103.099,103.068,103.048,102.716,102.946,100.290,102.491,103.774,102.765,102.260,101.856,103.052
 "08000","Colorado",7,SASUMMARY,14,"..."," Implicit regional price deflator 10/","Index",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),92.126,91.036,91.047,95.945,97.501,98.749,100.101,100.265,100.953,102.946,102.343,106.087,108.616,111.986,118.724,122.747,127.440
 "08000","Colorado",7,SASUMMARY,15,"..."," Total employment (number of jobs) ","Number of jobs",2732491,2808435,2918002,2941583,2916933,2908611,2958370,3036659,3109365,3217965,3251120,3164474,3143662,3204104,3262912,3357156,3467715,3574253,3666709,3760708,3857981,3894321,3821182,3987514,4108115,4250108,4267582
"Note: See the included footnote file."
"SASUMMARY: State annual summary statistics: personal income, GDP, consumer spending, price indexes, and employment "
"Last updated: February 19, 2026."
"U.S. Bureau of Economic Analysis"
